v_100m [m/s];v/v_cut-out [-];P [W];F_out [N];F_in [N];theta_out [rad];dl_tether [m];l0_tether [m];n_crosswind_patterns [-]
15.516811946015286;0.7875000837202126;10042.290971788778;5000.0;1721.0164949256489;0.7058565582535505;250.0;200.0;1.357441371331807
15.782401458069753;0.8009791259168807;10058.253540079208;4999.999999999995;1740.1141215734035;0.7201176820684715;249.99999999999986;200.0;1.3281276816626972
16.047990970124218;0.8144581681135487;10069.22973090297;5000.0;1818.6129999061977;0.7299831560175996;249.99999999999997;200.0;1.2930332021702082
16.313580482178686;0.8279372103102168;10075.015229237104;5000.0;1839.6423899304991;0.7448823032559115;249.9999999999999;200.0;1.2661362097001319
16.579169994233155;0.841416252506885;10076.109053350152;5000.0;1869.7853588914631;0.7514818691415802;249.99999999999997;200.0;1.2279767239498718
16.844759506287623;0.8548952947035531;10073.885372890707;4999.999999999999;1915.9576109593136;0.7659587850698331;249.9999999999999;200.0;1.2012933776693695
17.110349018342088;0.868374336900221;10065.532126360116;4999.999999999998;1948.0871308450714;0.7733853268078549;250.0;200.0;1.1655368696040291
17.375938530396557;0.8818533790968892;10053.330854781887;5000.0;1967.473114966853;0.7875299126440205;249.99999999999994;200.0;1.1386979309957437
17.64152804245102;0.8953324212935572;10035.822963710832;4999.999999999997;2000.2287988615358;0.7938213605047822;249.99999999999994;200.0;1.1023187668875294
17.90711755450549;0.9088114634902253;10015.280134037686;4999.999999999999;2045.6362526256094;0.8087947920459284;250.0;200.0;1.0761314898833279
18.17270706655996;0.9222905056868934;9990.25331073481;5000.0;2055.8086144595823;0.8118298735461941;250.0;200.0;1.0366706097723133
18.438296578614427;0.9357695478835616;9959.191781677511;5000.0;2078.492119903723;0.8251590776176769;249.99999999999997;200.0;1.0078996751155265
18.70388609066889;0.9492485900802295;9905.337937155591;4999.999999999996;2066.597924106886;0.8611278502816996;250.0;200.0;1.000000125899178
18.70388609066889;0.9492485900802295;9905.337937155591;4999.999999999996;2066.597924106886;0.8611278502816996;250.0;200.0;1.000000125899178
18.771743233526035;0.9526924357533568;9881.32778407731;4999.999999999995;2060.755364364822;0.8725612523485773;250.0;200.0;1.0000073497020008
18.839600376383178;0.9561362814264841;9850.917362701099;4999.999999999996;2078.7206996452114;0.8840802930090353;249.99999999999991;200.0;1.0000000000000204
18.90745751924032;0.9595801270996114;9815.964352747;4999.999999999999;2046.8188091673342;0.8957226494127511;250.0;200.0;1.0000000107525946
18.975314662097464;0.9630239727727388;9775.862952239966;5000.0;2041.076502949566;0.9074983938864389;249.99999999999997;200.0;1.0000000053026343
19.043171804954607;0.966467818445866;9726.896810189;4999.999999999999;2032.199353025936;0.9194254843982219;250.0;200.0;1.0000000092654997
19.11102894781175;0.9699116641189933;9671.725446497534;4999.999999999998;2022.8267203050473;0.9315135091115203;250.0;200.0;1.0000000096512638
19.17888609066889;0.9733555097921204;9609.583509937493;5000.0;2012.7693389088165;0.9437821295301219;250.0;200.0;1.0000000000000844
19.246743233526033;0.9767993554652477;9536.084189835085;5000.0;2000.8799445951288;0.9562738694719858;250.0;200.0;1.0000000367749582
19.314600376383176;0.980243201138375;9453.206469364124;5000.0;1992.7341351761095;0.9690148573136035;250.0;200.0;1.0000000026682114
19.38245751924032;0.9836870468115023;9359.53784642112;5000.0;1983.1834935201102;0.9820370588600191;249.99999999999997;200.0;1.0000000039986028
19.450314662097462;0.9871308924846296;9250.341431721752;4999.999999999999;1970.9502241580592;0.9953733493454109;249.99999999999994;200.0;1.0000000963693192
19.518171804954605;0.9905747381577569;9134.079054571952;5000.0;1822.915017008013;1.009079814151746;250.0;200.0;1.0000000000000009
19.586028947811748;0.9940185838308842;8998.105363213404;5000.0;1812.6307103944016;1.0232130423248842;249.99999999999997;200.0;1.0000000173544932
19.65388609066889;0.9974624295040114;8866.266309326651;5000.0;1711.5504171379584;1.0378359657537553;249.99999999999997;200.0;0.9999999999999949
